scenario_key,hand_category,position,stack_category,primary_action,confidence,total_games,workers_trained,fold_prob,call_small_prob,call_large_prob,raise_small_prob,raise_large_prob,all_in_prob
trash_BB_medium_tiny_bubble,trash,BB,medium,raise_small,0.598,5,4,0.05,0.05,0.0,0.598,0.302,0.0
premium_pairs_BB_short_tiny_early,premium,pairs,BB,fold,0.361,6,4,0.361,0.135,0.0,0.145,0.145,0.214
medium_pairs_BB_medium_small_middle,medium,pairs,BB,fold,0.63,7,4,0.63,0.298,0.0,0.036,0.036,0.0
premium_pairs_BB_medium_tiny_early,premium,pairs,BB,raise_small,0.533,4,4,0.062,0.062,0.0,0.533,0.342,0.0
small_pairs_BB_short_small_bubble,small,pairs,BB,raise_small,0.343,5,4,0.04,0.04,0.0,0.343,0.339,0.238
small_pairs_BTN_very_deep_no_bet_late,small,pairs,BTN,fold,0.25,7,4,0.25,0.0,0.0,0.0,0.0,0.0
small_pairs_BTN_ultra_short_huge_early,small,pairs,BTN,all_in,0.465,7,4,0.241,0.0,0.295,0.0,0.0,0.465
medium_pairs_BB_deep_tiny_early,medium,pairs,BB,call_small,0.442,4,4,0.433,0.442,0.0,0.062,0.062,0.0
medium_pairs_BB_deep_tiny_bubble,medium,pairs,BB,raise_small,0.375,2,4,0.125,0.125,0.0,0.375,0.375,0.0
premium_pairs_BTN_short_small_late,premium,pairs,BTN,raise_large,0.355,8,4,0.025,0.025,0.0,0.3,0.355,0.295
premium_pairs_BB_short_large_late,premium,pairs,BB,raise_large,0.362,5,4,0.04,0.0,0.04,0.278,0.362,0.28
premium_pairs_BTN_ultra_short_no_bet_late,premium,pairs,BTN,all_in,0.867,6,4,0.033,0.0,0.0,0.0,0.0,0.867
medium_pairs_BB_ultra_short_tiny_early,medium,pairs,BB,raise_large,0.368,7,4,0.029,0.029,0.0,0.282,0.368,0.293
premium_pairs_BTN_deep_no_bet_early,premium,pairs,BTN,fold,0.25,4,4,0.25,0.0,0.0,0.0,0.0,0.0
medium_pairs_BB_very_deep_tiny_middle,medium,pairs,BB,raise_small,0.513,8,4,0.031,0.174,0.0,0.513,0.282,0.0
small_pairs_BB_very_deep_tiny_bubble,small,pairs,BB,raise_small,0.593,5,4,0.05,0.05,0.0,0.593,0.307,0.0
premium_pairs_BB_very_deep_tiny_bubble,premium,pairs,BB,raise_large,0.488,4,4,0.062,0.062,0.0,0.387,0.488,0.0
premium_pairs_BTN_very_deep_no_bet_early,premium,pairs,BTN,fold,0.25,3,4,0.25,0.0,0.0,0.0,0.0,0.0
medium_pairs_BB_short_small_late,medium,pairs,BB,raise_large,0.387,4,4,0.05,0.05,0.0,0.336,0.387,0.177
small_pairs_BTN_short_small_middle,small,pairs,BTN,all_in,0.408,7,4,0.029,0.029,0.0,0.275,0.26,0.408
medium_pairs_BTN_medium_small_middle,medium,pairs,BTN,call_small,0.324,5,4,0.292,0.324,0.0,0.234,0.15,0.0
medium_pairs_BTN_short_no_bet_bubble,medium,pairs,BTN,fold,0.25,4,4,0.25,0.0,0.0,0.0,0.0,0.0
small_pairs_BTN_ultra_short_no_bet_middle,small,pairs,BTN,all_in,0.886,7,4,0.029,0.0,0.0,0.0,0.0,0.886
medium_pairs_BB_ultra_short_tiny_bubble,medium,pairs,BB,fold,0.496,5,4,0.496,0.141,0.0,0.084,0.084,0.194
