iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_weak_aces_visits,hand_category_medium_pairs_visits,hand_category_suited_gappers_visits,hand_category_trash_visits,hand_category_premium_pairs_visits,hand_category_suited_broadway_visits,hand_category_suited_connectors_visits,hand_category_small_pairs_visits,hand_category_medium_aces_visits
4400,0.47862744331359863,20.163845539093018,2.149032664663334,57.87500000000001,330,77,253,0,0,0,330,100.0,400.0,401.0,400.0,399.0,401.0,400.0,400.0,399.0,400.0,401.0,400.0
4500,0.48919200897216797,20.653037548065186,2.183030438088695,57.87500000000001,330,67,263,0,0,0,330,100.0,411.0,409.0,409.0,407.0,411.0,410.0,409.0,409.0,410.0,410.0,406.0
4600,0.4658045768737793,21.118842124938965,2.26814012937316,58.12500000000001,330,56,274,0,0,0,330,100.0,417.0,419.0,418.0,419.0,418.0,419.0,417.0,417.0,421.0,418.0,418.0
4700,0.4926180839538574,21.611460208892822,2.30415119339163,58.47500000000001,330,51,279,0,0,0,330,100.0,427.0,427.0,429.0,426.0,428.0,425.0,427.0,428.0,429.0,427.0,428.0
4800,0.49640583992004395,22.107866048812866,2.3153801547549087,59.07500000000001,330,45,285,0,0,0,330,100.0,436.0,437.0,438.0,438.0,436.0,436.0,436.0,434.0,437.0,438.0,435.0
4900,0.4416680335998535,22.54953408241272,2.360411148225201,59.07500000000001,330,42,288,0,0,0,330,100.0,446.0,445.0,445.0,443.0,445.0,448.0,444.0,447.0,446.0,447.0,445.0
0,0.012387275695800781,0.012387275695800781,0.04183006535947713,0.08366013071895426,1,1,0,0,0,0,330,0.3,,,1.0,,,,,,,,
100,0.45372915267944336,0.46611642837524414,0.37895712121205233,6.975,91,91,0,0,0,0,330,27.58,11.0,12.0,9.0,7.0,10.0,10.0,7.0,11.0,10.0,6.0,8.0
200,0.45276618003845215,0.9188826084136963,0.4276397419206901,8.6625,156,156,0,0,0,0,330,47.27,18.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0,19.0,17.0,18.0
300,0.42760419845581055,1.3464868068695068,0.42164650845156026,13.95,208,208,0,0,0,0,330,63.03,28.0,28.0,27.0,25.0,27.0,28.0,27.0,26.0,29.0,28.0,28.0
400,0.40750932693481445,1.7539961338043213,0.4542200323530195,13.95,236,236,0,0,0,0,330,71.52,39.0,37.0,37.0,38.0,35.0,38.0,35.0,35.0,38.0,34.0,35.0
500,0.45733046531677246,2.2113265991210938,0.5057904033668142,13.95,265,265,0,0,0,0,330,80.3,46.0,47.0,46.0,44.0,46.0,45.0,46.0,47.0,47.0,44.0,43.0
600,0.4439358711242676,2.6552624702453613,0.5355498627582005,14.099999999999998,288,288,0,0,0,0,330,87.27,55.0,56.0,55.0,53.0,54.0,56.0,56.0,55.0,55.0,53.0,53.0
700,0.4293217658996582,3.0845842361450195,0.5685923094094951,14.099999999999998,298,298,0,0,0,0,330,90.3,63.0,62.0,64.0,66.0,65.0,63.0,64.0,63.0,63.0,64.0,64.0
800,0.4622526168823242,3.5468368530273438,0.6236088711661256,18.15,308,308,0,0,0,0,330,93.33,73.0,73.0,72.0,72.0,74.0,74.0,71.0,73.0,74.0,72.0,73.0
900,0.44106531143188477,3.9879021644592285,0.6425459569975825,18.15,319,319,0,0,0,0,330,96.67,81.0,83.0,81.0,82.0,83.0,81.0,82.0,80.0,83.0,83.0,82.0
1000,0.45427823066711426,4.442180395126343,0.7192586306117005,19.487499999999997,322,322,0,0,0,0,330,97.58,91.0,92.0,92.0,93.0,91.0,87.0,92.0,93.0,91.0,89.0,90.0
1100,0.46909618377685547,4.911276578903198,0.7671442633314153,25.233333333333334,325,325,0,0,0,0,330,98.48,103.0,100.0,100.0,100.0,100.0,101.0,99.0,101.0,100.0,98.0,99.0
1200,0.48162412643432617,5.392900705337524,0.8477153480883657,25.233333333333334,326,326,0,0,0,0,330,98.79,110.0,110.0,108.0,111.0,109.0,108.0,109.0,109.0,111.0,106.0,110.0
1300,0.4703049659729004,5.863205671310425,0.8901390369834834,32.333333333333336,326,326,0,0,0,0,330,98.79,119.0,119.0,120.0,118.0,118.0,117.0,118.0,119.0,119.0,117.0,117.0
1400,0.47745585441589355,6.340661525726318,0.9432766972640767,32.333333333333336,327,327,0,0,0,0,330,99.09,127.0,129.0,128.0,125.0,127.0,127.0,128.0,127.0,129.0,126.0,128.0
1500,0.5194559097290039,6.860117435455322,0.9865480119874438,32.333333333333336,328,327,1,0,0,0,330,99.39,138.0,138.0,134.0,138.0,136.0,136.0,136.0,136.0,137.0,135.0,137.0
