hero_cards,villain_cards,hero_cards_str,villain_cards_str,hero_stack_bb,villain_stack_bb,stack_category,hero_action,villain_action,result,hero_stack_change,iteration
"[295429, 135427]","[2131213, 1065995]",[4♣] [3♠],[7♣] [6♦],121,121,deep,raise_small,raise_high,hero_wins,7.5,18
"[69634, 134224677]","[268471337, 67127839]",[2♠] [K♠],[A♣] [Q♦],12,12,short,raise_mid,raise_high,villain_wins,-1.5,19
"[4228625, 16812055]","[8406803, 268446761]",[8♣] [T♣],[9♦] [A♥],77,77,deep,call_small,raise_high,villain_wins,-1.5,20
"[33564957, 1065995]","[2102541, 268442665]",[J♥] [6♦],[7♠] [A♠],100,100,deep,raise_high,fold,hero_wins,1.5,21
"[139523, 541447]","[2102541, 33560861]",[3♥] [5♦],[7♠] [J♠],14,14,short,call_small,fold,hero_wins,1.5,22
"[268454953, 2106637]","[2102541, 529159]",[A♦] [7♥],[7♠] [5♠],20,20,short,fold,raise_small,villain_wins,-1.5,23
"[33560861, 16783383]","[67144223, 73730]",[J♠] [T♠],[Q♣] [2♥],35,35,medium,raise_small,call_small,villain_wins,-1.5,24
"[279045, 139523]","[8398611, 81922]",[4♦] [3♥],[9♥] [2♦],87,87,deep,raise_small,call_small,villain_wins,-1.5,25
"[1057803, 268446761]","[139523, 67127839]",[6♥] [A♥],[3♥] [Q♦],46,46,medium,call_small,call_small,tie,0.0,26
"[2102541, 67115551]","[268454953, 139523]",[7♠] [Q♠],[A♦] [3♥],68,68,medium,raise_small,raise_high,villain_wins,-1.5,27
"[134253349, 1065995]","[557831, 69634]",[K♣] [6♦],[5♣] [2♠],27,27,medium,fold,call_small,villain_wins,-1.5,28
"[67115551, 16812055]","[268471337, 533255]",[Q♠] [T♣],[A♣] [5♥],41,41,medium,raise_mid,raise_small,hero_wins,7.5,29
"[134228773, 16812055]","[1082379, 8406803]",[K♥] [T♣],[6♣] [9♦],96,96,deep,raise_mid,call_small,hero_wins,6.0,30
"[134253349, 33573149]","[279045, 81922]",[K♣] [J♦],[4♦] [2♦],63,63,medium,call_small,raise_high,hero_wins,6.0,31
"[134224677, 1065995]","[16812055, 33573149]",[K♠] [6♦],[T♣] [J♦],120,120,deep,call_small,raise_high,hero_wins,6.0,32
"[2102541, 16783383]","[164099, 8406803]",[7♠] [T♠],[3♣] [9♦],68,68,medium,raise_high,raise_small,hero_wins,7.5,33
"[73730, 4212241]","[8406803, 16795671]",[2♥] [8♦],[9♦] [T♦],104,104,deep,call_small,raise_mid,villain_wins,-1.5,34
"[4212241, 268471337]","[33589533, 529159]",[8♦] [A♣],[J♣] [5♠],112,112,deep,fold,fold,villain_wins,-1.5,35
"[4228625, 164099]","[270853, 268442665]",[8♣] [3♣],[4♥] [A♠],87,87,deep,call_small,call_small,villain_wins,-1.5,36
"[67127839, 4204049]","[33589533, 16787479]",[Q♦] [8♥],[J♣] [T♥],10,10,short,raise_mid,fold,hero_wins,1.5,37
"[270853, 2102541]","[557831, 2106637]",[4♥] [7♠],[5♣] [7♥],78,78,deep,raise_high,raise_mid,tie,0.0,38
"[8423187, 8398611]","[266757, 134228773]",[9♣] [9♥],[4♠] [K♥],51,51,medium,raise_small,raise_mid,hero_wins,7.5,39
"[2106637, 139523]","[67115551, 279045]",[7♥] [3♥],[Q♠] [4♦],103,103,deep,call_small,raise_mid,hero_wins,6.0,40
"[16783383, 139523]","[268471337, 134228773]",[T♠] [3♥],[A♣] [K♥],73,73,medium,raise_high,raise_small,hero_wins,7.5,41
"[279045, 268442665]","[16812055, 268471337]",[4♦] [A♠],[T♣] [A♣],72,72,medium,raise_small,call_small,hero_wins,6.0,42
"[529159, 139523]","[16795671, 4204049]",[5♠] [3♥],[T♦] [8♥],18,18,short,raise_mid,raise_mid,villain_wins,-1.5,43
"[533255, 270853]","[8406803, 134224677]",[5♥] [4♥],[9♦] [K♠],14,14,short,call_small,raise_high,villain_wins,-1.5,44
"[8394515, 529159]","[134236965, 2114829]",[9♠] [5♠],[K♦] [7♦],121,121,deep,fold,raise_high,villain_wins,-1.5,45
"[2114829, 16787479]","[33573149, 33564957]",[7♦] [T♥],[J♦] [J♥],108,108,deep,raise_small,raise_mid,villain_wins,-1.5,46
"[2131213, 557831]","[8406803, 33560861]",[7♣] [5♣],[9♦] [J♠],51,51,medium,raise_high,raise_small,hero_wins,7.5,47
"[8394515, 268442665]","[279045, 529159]",[9♠] [A♠],[4♦] [5♠],11,11,short,raise_high,fold,hero_wins,1.5,48
"[268471337, 2106637]","[147715, 533255]",[A♣] [7♥],[3♦] [5♥],150,150,deep,fold,raise_high,villain_wins,-1.5,49
"[268446761, 1082379]","[1053707, 33560861]",[A♥] [6♣],[6♠] [J♠],36,36,medium,raise_mid,fold,hero_wins,1.5,50
"[4199953, 67119647]","[134228773, 279045]",[8♠] [Q♥],[K♥] [4♦],14,14,short,fold,call_small,villain_wins,-1.5,51
"[1057803, 134236965]","[8398611, 279045]",[6♥] [K♦],[9♥] [4♦],68,68,medium,raise_high,raise_mid,villain_wins,-1.5,52
"[134236965, 16812055]","[67127839, 4212241]",[K♦] [T♣],[Q♦] [8♦],17,17,short,raise_high,raise_high,hero_wins,7.5,53
"[134253349, 67115551]","[4204049, 147715]",[K♣] [Q♠],[8♥] [3♦],45,45,medium,raise_mid,call_small,villain_wins,-1.5,54
"[268454953, 295429]","[8423187, 134253349]",[A♦] [4♣],[9♣] [K♣],125,125,deep,call_small,fold,hero_wins,1.5,55
"[2102541, 134224677]","[1057803, 16795671]",[7♠] [K♠],[6♥] [T♦],70,70,medium,raise_mid,fold,hero_wins,1.5,56
"[2102541, 1057803]","[295429, 268442665]",[7♠] [6♥],[4♣] [A♠],20,20,short,raise_small,raise_high,hero_wins,7.5,57
"[8406803, 1057803]","[164099, 2114829]",[9♦] [6♥],[3♣] [7♦],139,139,deep,call_small,call_small,villain_wins,-1.5,58
"[147715, 33573149]","[33564957, 1082379]",[3♦] [J♦],[J♥] [6♣],18,18,short,raise_mid,call_small,villain_wins,-1.5,59
"[2106637, 268446761]","[33573149, 16783383]",[7♥] [A♥],[J♦] [T♠],129,129,deep,raise_mid,fold,hero_wins,1.5,60
"[1082379, 69634]","[266757, 33564957]",[6♣] [2♠],[4♠] [J♥],64,64,medium,fold,raise_mid,villain_wins,-1.5,61
"[8423187, 541447]","[33560861, 16783383]",[9♣] [5♦],[J♠] [T♠],129,129,deep,fold,call_small,villain_wins,-1.5,62
"[16795671, 16783383]","[1053707, 33564957]",[T♦] [T♠],[6♠] [J♥],16,16,short,call_small,raise_high,hero_wins,6.0,63
"[529159, 69634]","[8423187, 135427]",[5♠] [2♠],[9♣] [3♠],13,13,short,call_small,raise_high,hero_wins,6.0,64
"[4212241, 268446761]","[67119647, 69634]",[8♦] [A♥],[Q♥] [2♠],75,75,medium,raise_small,fold,hero_wins,1.5,65
"[8398611, 69634]","[2102541, 8423187]",[9♥] [2♠],[7♠] [9♣],64,64,medium,fold,raise_mid,villain_wins,-1.5,66
"[1057803, 2102541]","[73730, 8423187]",[6♥] [7♠],[2♥] [9♣],53,53,medium,raise_high,fold,hero_wins,1.5,67
"[266757, 4228625]","[134236965, 135427]",[4♠] [8♣],[K♦] [3♠],116,116,deep,call_small,raise_small,villain_wins,-1.5,68
"[134224677, 4204049]","[2114829, 147715]",[K♠] [8♥],[7♦] [3♦],11,11,short,call_small,raise_high,villain_wins,-1.5,69
"[33564957, 557831]","[67115551, 81922]",[J♥] [5♣],[Q♠] [2♦],95,95,deep,raise_small,raise_small,hero_wins,7.5,70
"[4199953, 33589533]","[4204049, 33564957]",[8♠] [J♣],[8♥] [J♥],10,10,short,raise_high,raise_mid,tie,0.0,71
"[529159, 139523]","[147715, 134228773]",[5♠] [3♥],[3♦] [K♥],10,10,short,raise_high,raise_mid,villain_wins,-1.5,72
"[295429, 1057803]","[67119647, 16787479]",[4♣] [6♥],[Q♥] [T♥],135,135,deep,raise_small,call_small,hero_wins,6.0,73
"[139523, 67115551]","[541447, 270853]",[3♥] [Q♠],[5♦] [4♥],35,35,medium,call_small,call_small,villain_wins,-1.5,74
"[266757, 1057803]","[533255, 1053707]",[4♠] [6♥],[5♥] [6♠],10,10,short,raise_high,raise_high,villain_wins,-1.5,75
"[268442665, 270853]","[8394515, 4212241]",[A♠] [4♥],[9♠] [8♦],67,67,medium,call_small,call_small,hero_wins,4.5,76
"[268442665, 533255]","[16787479, 33564957]",[A♠] [5♥],[T♥] [J♥],12,12,short,raise_mid,fold,hero_wins,1.5,77
"[147715, 529159]","[295429, 8406803]",[3♦] [5♠],[4♣] [9♦],16,16,short,raise_high,fold,hero_wins,1.5,78
"[557831, 8406803]","[1082379, 33560861]",[5♣] [9♦],[6♣] [J♠],63,63,medium,raise_mid,fold,hero_wins,1.5,79
"[266757, 8423187]","[2102541, 4228625]",[4♠] [9♣],[7♠] [8♣],17,17,short,raise_small,raise_high,villain_wins,-1.5,80
"[8394515, 4228625]","[16812055, 33564957]",[9♠] [8♣],[T♣] [J♥],128,128,deep,fold,raise_high,villain_wins,-1.5,81
"[1057803, 16795671]","[81922, 268471337]",[6♥] [T♦],[2♦] [A♣],14,14,short,raise_high,raise_high,villain_wins,-1.5,82
"[73730, 67115551]","[268454953, 134228773]",[2♥] [Q♠],[A♦] [K♥],19,19,short,call_small,fold,hero_wins,1.5,83
"[147715, 557831]","[541447, 529159]",[3♦] [5♣],[5♦] [5♠],51,51,medium,raise_mid,call_small,villain_wins,-1.5,84
"[279045, 147715]","[268442665, 33589533]",[4♦] [3♦],[A♠] [J♣],129,129,deep,raise_high,raise_mid,villain_wins,-1.5,85
"[268446761, 1053707]","[4228625, 67144223]",[A♥] [6♠],[8♣] [Q♣],15,15,short,raise_small,fold,hero_wins,1.5,86
"[73730, 541447]","[266757, 295429]",[2♥] [5♦],[4♠] [4♣],139,139,deep,fold,call_small,villain_wins,-1.5,87
"[8398611, 2131213]","[8394515, 134228773]",[9♥] [7♣],[9♠] [K♥],22,22,short,fold,call_small,villain_wins,-1.5,88
"[147715, 33564957]","[266757, 16783383]",[3♦] [J♥],[4♠] [T♠],40,40,medium,fold,call_small,villain_wins,-1.5,89
"[295429, 81922]","[4212241, 541447]",[4♣] [2♦],[8♦] [5♦],11,11,short,raise_high,raise_small,villain_wins,-1.5,90
"[1057803, 270853]","[1065995, 16795671]",[6♥] [4♥],[6♦] [T♦],57,57,medium,call_small,raise_mid,hero_wins,6.0,91
"[2131213, 268454953]","[134228773, 164099]",[7♣] [A♦],[K♥] [3♣],38,38,medium,raise_high,call_small,hero_wins,6.0,92
"[1065995, 2114829]","[164099, 268446761]",[6♦] [7♦],[3♣] [A♥],106,106,deep,raise_mid,call_small,hero_wins,6.0,93
"[16787479, 4212241]","[67119647, 33560861]",[T♥] [8♦],[Q♥] [J♠],11,11,short,call_small,raise_high,villain_wins,-1.5,94
"[81922, 295429]","[67144223, 2102541]",[2♦] [4♣],[Q♣] [7♠],77,77,deep,raise_high,call_small,villain_wins,-1.5,95
"[16787479, 268454953]","[73730, 529159]",[T♥] [A♦],[2♥] [5♠],23,23,short,raise_high,raise_high,hero_wins,7.5,96
"[134253349, 270853]","[4212241, 2114829]",[K♣] [4♥],[8♦] [7♦],115,115,deep,raise_high,call_small,hero_wins,6.0,97
"[2106637, 8406803]","[533255, 164099]",[7♥] [9♦],[5♥] [3♣],12,12,short,fold,raise_small,villain_wins,-1.5,98
"[268442665, 67115551]","[147715, 135427]",[A♠] [Q♠],[3♦] [3♠],90,90,deep,raise_small,raise_high,hero_wins,7.5,99
"[4212241, 134236965]","[67119647, 8394515]",[8♦] [K♦],[Q♥] [9♠],44,44,medium,raise_mid,raise_high,hero_wins,7.5,100
"[147715, 279045]","[16787479, 4228625]",[3♦] [4♦],[T♥] [8♣],97,97,deep,raise_small,raise_mid,hero_wins,7.5,101
"[16783383, 295429]","[69634, 134224677]",[T♠] [4♣],[2♠] [K♠],72,72,medium,call_small,call_small,hero_wins,4.5,102
"[4212241, 4204049]","[268471337, 2131213]",[8♦] [8♥],[A♣] [7♣],11,11,short,fold,call_small,villain_wins,-1.5,103
"[81922, 541447]","[69634, 4204049]",[2♦] [5♦],[2♠] [8♥],40,40,medium,raise_high,raise_high,hero_wins,7.5,104
"[2106637, 1057803]","[4228625, 8406803]",[7♥] [6♥],[8♣] [9♦],47,47,medium,raise_mid,fold,hero_wins,1.5,105
"[33564957, 139523]","[279045, 16787479]",[J♥] [3♥],[4♦] [T♥],136,136,deep,fold,raise_high,villain_wins,-1.5,106
"[67115551, 268446761]","[33560861, 16812055]",[Q♠] [A♥],[J♠] [T♣],15,15,short,raise_high,raise_mid,villain_wins,-1.5,107
"[268446761, 557831]","[147715, 67115551]",[A♥] [5♣],[3♦] [Q♠],124,124,deep,raise_small,call_small,hero_wins,6.0,108
"[4204049, 2131213]","[279045, 134228773]",[8♥] [7♣],[4♦] [K♥],96,96,deep,raise_high,raise_small,hero_wins,7.5,109
"[533255, 557831]","[16783383, 16795671]",[5♥] [5♣],[T♠] [T♦],131,131,deep,raise_small,raise_small,hero_wins,7.5,110
"[73730, 134224677]","[2131213, 33589533]",[2♥] [K♠],[7♣] [J♣],54,54,medium,fold,raise_high,villain_wins,-1.5,111
"[8406803, 2131213]","[270853, 4199953]",[9♦] [7♣],[4♥] [8♠],47,47,medium,raise_mid,raise_small,villain_wins,-1.5,112
"[266757, 98306]","[16812055, 67127839]",[4♠] [2♣],[T♣] [Q♦],23,23,short,raise_high,fold,hero_wins,1.5,113
"[2131213, 2102541]","[557831, 33589533]",[7♣] [7♠],[5♣] [J♣],10,10,short,call_small,raise_mid,villain_wins,-1.5,114
"[529159, 134224677]","[147715, 164099]",[5♠] [K♠],[3♦] [3♣],22,22,short,raise_high,raise_high,hero_wins,7.5,115
"[67115551, 1057803]","[8398611, 147715]",[Q♠] [6♥],[9♥] [3♦],52,52,medium,raise_high,raise_high,villain_wins,-1.5,116
"[2114829, 268471337]","[2106637, 33589533]",[7♦] [A♣],[7♥] [J♣],22,22,short,raise_mid,fold,hero_wins,1.5,117
"[268442665, 557831]","[1053707, 134228773]",[A♠] [5♣],[6♠] [K♥],14,14,short,raise_high,raise_high,hero_wins,7.5,118
"[67127839, 139523]","[73730, 4228625]",[Q♦] [3♥],[2♥] [8♣],56,56,medium,fold,raise_small,villain_wins,-1.5,119
"[134228773, 134224677]","[2131213, 164099]",[K♥] [K♠],[7♣] [3♣],15,15,short,fold,raise_mid,villain_wins,-1.5,120
"[67115551, 73730]","[268454953, 134253349]",[Q♠] [2♥],[A♦] [K♣],105,105,deep,raise_small,call_small,villain_wins,-1.5,121
"[134253349, 16787479]","[279045, 8398611]",[K♣] [T♥],[4♦] [9♥],71,71,medium,raise_mid,raise_mid,villain_wins,-1.5,122
"[529159, 270853]","[2106637, 134253349]",[5♠] [4♥],[7♥] [K♣],49,49,medium,raise_small,call_small,villain_wins,-1.5,123
"[147715, 81922]","[1053707, 268442665]",[3♦] [2♦],[6♠] [A♠],24,24,short,call_small,call_small,hero_wins,4.5,124
"[533255, 541447]","[67127839, 266757]",[5♥] [5♦],[Q♦] [4♠],92,92,deep,call_small,raise_mid,hero_wins,6.0,125
"[139523, 16795671]","[8406803, 2106637]",[3♥] [T♦],[9♦] [7♥],75,75,medium,fold,raise_high,villain_wins,-1.5,126
"[81922, 2106637]","[33564957, 2102541]",[2♦] [7♥],[J♥] [7♠],53,53,medium,raise_mid,raise_high,villain_wins,-1.5,127
"[69634, 295429]","[33560861, 1057803]",[2♠] [4♣],[J♠] [6♥],68,68,medium,raise_high,raise_high,villain_wins,-1.5,128
"[134236965, 4228625]","[270853, 529159]",[K♦] [8♣],[4♥] [5♠],70,70,medium,raise_small,raise_high,hero_wins,7.5,129
"[541447, 134224677]","[134228773, 69634]",[5♦] [K♠],[K♥] [2♠],84,84,deep,raise_mid,raise_mid,hero_wins,7.5,130
"[134228773, 295429]","[2106637, 134253349]",[K♥] [4♣],[7♥] [K♣],24,24,short,call_small,call_small,villain_wins,-1.5,131
"[1053707, 164099]","[2102541, 268454953]",[6♠] [3♣],[7♠] [A♦],72,72,medium,raise_small,raise_mid,villain_wins,-1.5,132
"[134224677, 295429]","[67115551, 279045]",[K♠] [4♣],[Q♠] [4♦],15,15,short,call_small,raise_high,hero_wins,6.0,133
"[268442665, 4204049]","[139523, 134253349]",[A♠] [8♥],[3♥] [K♣],35,35,medium,raise_high,raise_mid,hero_wins,7.5,134
"[295429, 270853]","[1065995, 135427]",[4♣] [4♥],[6♦] [3♠],41,41,medium,raise_high,fold,hero_wins,1.5,135
"[2102541, 266757]","[67115551, 279045]",[7♠] [4♠],[Q♠] [4♦],96,96,deep,fold,raise_mid,villain_wins,-1.5,136
"[8406803, 557831]","[67119647, 135427]",[9♦] [5♣],[Q♥] [3♠],19,19,short,raise_mid,call_small,hero_wins,6.0,137
"[2102541, 67115551]","[1053707, 268454953]",[7♠] [Q♠],[6♠] [A♦],51,51,medium,raise_high,raise_small,villain_wins,-1.5,138
"[541447, 69634]","[8394515, 8398611]",[5♦] [2♠],[9♠] [9♥],108,108,deep,fold,raise_small,villain_wins,-1.5,139
"[33564957, 2102541]","[69634, 295429]",[J♥] [7♠],[2♠] [4♣],24,24,short,fold,raise_small,villain_wins,-1.5,140
"[2131213, 16795671]","[4212241, 268446761]",[7♣] [T♦],[8♦] [A♥],26,26,medium,call_small,raise_mid,hero_wins,6.0,141
"[270853, 98306]","[2106637, 33560861]",[4♥] [2♣],[7♥] [J♠],67,67,medium,fold,raise_mid,villain_wins,-1.5,142
"[268442665, 266757]","[279045, 295429]",[A♠] [4♠],[4♦] [4♣],57,57,medium,raise_small,fold,hero_wins,1.5,143
"[134236965, 2106637]","[4212241, 8398611]",[K♦] [7♥],[8♦] [9♥],107,107,deep,fold,fold,villain_wins,-1.5,144
"[67127839, 4228625]","[135427, 8398611]",[Q♦] [8♣],[3♠] [9♥],48,48,medium,call_small,raise_high,villain_wins,-1.5,145
"[533255, 16795671]","[164099, 147715]",[5♥] [T♦],[3♣] [3♦],45,45,medium,raise_mid,fold,hero_wins,1.5,146
"[134236965, 135427]","[533255, 268471337]",[K♦] [3♠],[5♥] [A♣],150,150,deep,raise_small,raise_high,villain_wins,-1.5,147
"[16795671, 4204049]","[4228625, 135427]",[T♦] [8♥],[8♣] [3♠],87,87,deep,raise_mid,fold,hero_wins,1.5,148
"[8398611, 134228773]","[16795671, 533255]",[9♥] [K♥],[T♦] [5♥],40,40,medium,call_small,call_small,hero_wins,4.5,149
"[67127839, 4212241]","[69634, 134236965]",[Q♦] [8♦],[2♠] [K♦],22,22,short,raise_high,call_small,villain_wins,-1.5,150
"[1082379, 134236965]","[73730, 16812055]",[6♣] [K♦],[2♥] [T♣],24,24,short,call_small,call_small,hero_wins,4.5,151
"[557831, 33589533]","[1082379, 67119647]",[5♣] [J♣],[6♣] [Q♥],33,33,medium,fold,raise_high,villain_wins,-1.5,152
"[33560861, 2114829]","[16812055, 73730]",[J♠] [7♦],[T♣] [2♥],121,121,deep,fold,raise_small,villain_wins,-1.5,153
"[33589533, 529159]","[8394515, 4212241]",[J♣] [5♠],[9♠] [8♦],62,62,medium,raise_high,fold,hero_wins,1.5,154
"[8406803, 268442665]","[1065995, 147715]",[9♦] [A♠],[6♦] [3♦],126,126,deep,call_small,raise_small,hero_wins,6.0,155
"[98306, 139523]","[270853, 1057803]",[2♣] [3♥],[4♥] [6♥],86,86,deep,call_small,raise_small,villain_wins,-1.5,156
"[541447, 2114829]","[16812055, 268446761]",[5♦] [7♦],[T♣] [A♥],20,20,short,raise_small,call_small,hero_wins,6.0,157
"[135427, 295429]","[67144223, 67115551]",[3♠] [4♣],[Q♣] [Q♠],30,30,medium,fold,call_small,villain_wins,-1.5,158
"[268446761, 135427]","[8398611, 8394515]",[A♥] [3♠],[9♥] [9♠],21,21,short,fold,fold,villain_wins,-1.5,159
"[69634, 2131213]","[8398611, 268454953]",[2♠] [7♣],[9♥] [A♦],61,61,medium,call_small,raise_mid,villain_wins,-1.5,160
"[1053707, 139523]","[33573149, 1057803]",[6♠] [3♥],[J♦] [6♥],25,25,short,call_small,raise_mid,villain_wins,-1.5,161
"[16795671, 268446761]","[33573149, 135427]",[T♦] [A♥],[J♦] [3♠],67,67,medium,raise_high,raise_high,hero_wins,7.5,162
"[33573149, 134228773]","[4199953, 16783383]",[J♦] [K♥],[8♠] [T♠],25,25,short,call_small,raise_mid,hero_wins,6.0,163
"[98306, 1053707]","[16787479, 8406803]",[2♣] [6♠],[T♥] [9♦],58,58,medium,call_small,fold,hero_wins,1.5,164
"[1057803, 268446761]","[533255, 268454953]",[6♥] [A♥],[5♥] [A♦],149,149,deep,fold,raise_mid,villain_wins,-1.5,165
"[2131213, 4228625]","[2114829, 2102541]",[7♣] [8♣],[7♦] [7♠],44,44,medium,raise_mid,raise_mid,hero_wins,7.5,166
"[16795671, 67119647]","[134236965, 279045]",[T♦] [Q♥],[K♦] [4♦],61,61,medium,raise_small,call_small,villain_wins,-1.5,167
"[8406803, 16795671]","[1082379, 1053707]",[9♦] [T♦],[6♣] [6♠],115,115,deep,fold,raise_small,villain_wins,-1.5,168
"[4199953, 268471337]","[268442665, 33560861]",[8♠] [A♣],[A♠] [J♠],25,25,short,call_small,raise_small,villain_wins,-1.5,169
"[270853, 134228773]","[1053707, 135427]",[4♥] [K♥],[6♠] [3♠],48,48,medium,raise_small,raise_small,hero_wins,7.5,170
"[1057803, 268454953]","[135427, 268471337]",[6♥] [A♦],[3♠] [A♣],120,120,deep,fold,call_small,villain_wins,-1.5,171
"[134253349, 279045]","[2106637, 33573149]",[K♣] [4♦],[7♥] [J♦],12,12,short,call_small,fold,hero_wins,1.5,172
"[8398611, 134228773]","[268471337, 2114829]",[9♥] [K♥],[A♣] [7♦],91,91,deep,raise_high,fold,hero_wins,1.5,173
"[135427, 134253349]","[134236965, 268471337]",[3♠] [K♣],[K♦] [A♣],13,13,short,raise_mid,raise_small,villain_wins,-1.5,174
"[268442665, 16795671]","[134253349, 33564957]",[A♠] [T♦],[K♣] [J♥],20,20,short,raise_mid,fold,hero_wins,1.5,175
"[1057803, 533255]","[67144223, 33589533]",[6♥] [5♥],[Q♣] [J♣],16,16,short,raise_mid,raise_high,villain_wins,-1.5,176
"[67144223, 4212241]","[2102541, 33573149]",[Q♣] [8♦],[7♠] [J♦],69,69,medium,raise_mid,call_small,villain_wins,-1.5,177
"[164099, 268442665]","[529159, 134224677]",[3♣] [A♠],[5♠] [K♠],19,19,short,call_small,fold,hero_wins,1.5,178
"[98306, 295429]","[164099, 4204049]",[2♣] [4♣],[3♣] [8♥],90,90,deep,raise_small,call_small,villain_wins,-1.5,179
"[268442665, 67144223]","[295429, 2102541]",[A♠] [Q♣],[4♣] [7♠],43,43,medium,raise_small,raise_mid,hero_wins,7.5,180
"[270853, 67115551]","[4228625, 33573149]",[4♥] [Q♠],[8♣] [J♦],129,129,deep,raise_small,raise_high,hero_wins,7.5,181
"[541447, 2131213]","[33560861, 2106637]",[5♦] [7♣],[J♠] [7♥],26,26,medium,fold,call_small,villain_wins,-1.5,182
"[33573149, 266757]","[139523, 134236965]",[J♦] [4♠],[3♥] [K♦],138,138,deep,call_small,call_small,hero_wins,4.5,183
"[67127839, 533255]","[557831, 147715]",[Q♦] [5♥],[5♣] [3♦],56,56,medium,raise_mid,fold,hero_wins,1.5,184
"[2106637, 16812055]","[16787479, 268446761]",[7♥] [T♣],[T♥] [A♥],21,21,short,raise_high,raise_small,villain_wins,-1.5,185
"[2106637, 33573149]","[67127839, 4212241]",[7♥] [J♦],[Q♦] [8♦],37,37,medium,raise_high,fold,hero_wins,1.5,186
"[67119647, 529159]","[279045, 67144223]",[Q♥] [5♠],[4♦] [Q♣],10,10,short,raise_high,raise_small,tie,0.0,187
"[69634, 67127839]","[147715, 557831]",[2♠] [Q♦],[3♦] [5♣],13,13,short,raise_small,fold,hero_wins,1.5,188
"[16812055, 134224677]","[268442665, 279045]",[T♣] [K♠],[A♠] [4♦],22,22,short,raise_high,raise_mid,hero_wins,7.5,189
"[33560861, 164099]","[67115551, 147715]",[J♠] [3♣],[Q♠] [3♦],12,12,short,call_small,raise_high,villain_wins,-1.5,190
"[266757, 16787479]","[67144223, 529159]",[4♠] [T♥],[Q♣] [5♠],123,123,deep,raise_high,raise_high,hero_wins,7.5,191
"[268471337, 4212241]","[81922, 134228773]",[A♣] [8♦],[2♦] [K♥],45,45,medium,raise_small,raise_small,hero_wins,7.5,192
"[557831, 81922]","[1082379, 134236965]",[5♣] [2♦],[6♣] [K♦],76,76,deep,fold,raise_small,villain_wins,-1.5,193
"[529159, 67119647]","[33564957, 1082379]",[5♠] [Q♥],[J♥] [6♣],27,27,medium,fold,raise_mid,villain_wins,-1.5,194
"[541447, 16787479]","[67115551, 67119647]",[5♦] [T♥],[Q♠] [Q♥],17,17,short,raise_high,raise_high,villain_wins,-1.5,195
"[266757, 16812055]","[67144223, 4212241]",[4♠] [T♣],[Q♣] [8♦],20,20,short,fold,raise_mid,villain_wins,-1.5,196
"[33589533, 8398611]","[135427, 134228773]",[J♣] [9♥],[3♠] [K♥],99,99,deep,raise_mid,raise_small,villain_wins,-1.5,197
