iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
430,2.2599270343780518,96.04236936569214,0.29499147510246637,8.481410256410255,150,150,0,0,0,0,220,68.18,39,39,39,39,39,39,39,39,40,39,39.0
440,2.247251033782959,98.2896203994751,0.297038548115112,8.481410256410255,150,150,0,0,0,0,220,68.18,40,40,40,40,40,40,40,40,40,40,40.0
450,2.2900960445404053,100.5797164440155,0.30918209887392784,8.481410256410255,150,150,0,0,0,0,220,68.18,41,41,41,41,40,41,41,41,41,41,41.0
460,2.2811052799224854,102.86082172393799,0.3102775327124299,8.481410256410255,151,151,0,0,0,0,220,68.64,42,42,42,41,42,42,42,42,41,42,42.0
470,2.2455053329467773,105.10632705688477,0.31124576149503347,8.481410256410255,153,153,0,0,0,0,220,69.55,43,43,42,43,43,42,43,43,43,43,42.0
480,2.273615837097168,107.37994289398193,0.3112530918654551,8.481410256410255,153,153,0,0,0,0,220,69.55,44,44,44,43,44,44,44,43,43,44,43.0
490,2.2951500415802,109.67509293556213,0.31607936824078253,8.712989203778676,153,153,0,0,0,0,220,69.55,44,45,45,45,45,44,44,44,45,45,44.0
500,2.2778944969177246,111.95298743247986,0.3246028859078382,8.712989203778676,153,153,0,0,0,0,220,69.55,45,46,45,45,46,46,45,46,45,46,45.0
510,2.267178535461426,114.22016596794128,0.3342287339475294,8.712989203778676,153,153,0,0,0,0,220,69.55,46,46,47,46,46,46,47,47,46,47,46.0
520,2.2652041912078857,116.48537015914917,0.3364572640250581,8.712989203778676,153,153,0,0,0,0,220,69.55,48,48,47,47,48,47,47,47,47,47,47.0
530,2.293513298034668,118.77888345718384,0.3425044652846187,10.912989203778675,153,153,0,0,0,0,220,69.55,48,48,48,48,49,49,48,48,48,48,48.0
540,2.326425075531006,121.10530853271484,0.3460594497411652,10.912989203778675,153,153,0,0,0,0,220,69.55,49,50,49,49,49,49,49,49,49,49,49.0
