scenario_key,hand_category,example_hands,position,stack_depth,betting_situation,training_games,best_action,confidence,fold_prob,call_prob,raise_small_prob,shove_prob
trash_BTN_deep_no_bet,trash,"72o, 83o, 94o",BTN,deep,no,11,RAISE_SMALL,0.576,0.212,0.0,0.576,0.212
premium_aces_BTN_medium_no_bet,premium,,aces,BTN,medium,11,FOLD,0.576,0.576,0.0,0.212,0.212
weak_aces_BB_ultra_short_bet,weak,,aces,BB,ultra,22,RAISE_SMALL,0.568,0.205,0.205,0.568,0.023
medium_aces_BB_ultra_short_bet,medium,,aces,BB,ultra,22,RAISE_SMALL,0.557,0.216,0.216,0.557,0.011
suited_broadway_BB_ultra_short_bet,suited,,broadway,BB,ultra,22,RAISE_SMALL,0.557,0.216,0.216,0.557,0.011
suited_gappers_BTN_short_bet,suited,,gappers,BTN,short,5,RAISE_SMALL,0.536,0.364,0.05,0.536,0.05
premium_aces_BTN_deep_no_bet,premium,,aces,BTN,deep,10,RAISE_SMALL,0.533,0.233,0.0,0.533,0.233
medium_aces_BTN_short_bet,medium,,aces,BTN,short,8,RAISE_SMALL,0.531,0.219,0.219,0.531,0.031
medium_aces_BTN_ultra_short_no_bet,medium,,aces,BTN,ultra,21,RAISE_SMALL,0.53,0.423,0.0,0.53,0.048
offsuit_broadway_BTN_deep_bet,offsuit,,broadway,BTN,deep,8,FOLD,0.53,0.53,0.031,0.407,0.031
small_pairs_BB_ultra_short_bet,small,,pairs,BB,ultra,19,RAISE_SMALL,0.526,0.211,0.211,0.526,0.053
suited_broadway_BTN_very_deep_bet,suited,,broadway,BTN,very,11,RAISE_SMALL,0.523,0.159,0.159,0.523,0.159
offsuit_broadway_BTN_ultra_short_no_bet,offsuit,,broadway,BTN,ultra,9,RAISE_SMALL,0.522,0.441,0.0,0.522,0.037
medium_pairs_BB_ultra_short_bet,medium,,pairs,BB,ultra,21,RAISE_SMALL,0.5,0.238,0.238,0.5,0.024
trash_BTN_medium_no_bet,trash,"72o, 83o, 94o",BTN,medium,no,8,FOLD,0.5,0.5,0.0,0.25,0.25
trash_BTN_ultra_short_bet,trash,"72o, 83o, 94o",BTN,ultra,short,7,FOLD,0.5,0.5,0.214,0.143,0.143
small_pairs_BTN_ultra_short_bet,small,,pairs,BTN,ultra,11,RAISE_SMALL,0.477,0.25,0.25,0.477,0.023
premium_aces_BTN_short_bet,premium,,aces,BTN,short,13,RAISE_SMALL,0.423,0.231,0.231,0.423,0.115
medium_aces_BTN_deep_no_bet,medium,,aces,BTN,deep,9,RAISE_SMALL,0.407,0.296,0.0,0.407,0.296
suited_connectors_BTN_ultra_short_bet,suited,,connectors,BTN,ultra,8,RAISE_SMALL,0.406,0.281,0.281,0.406,0.031
suited_gappers_BTN_ultra_short_bet,suited,,gappers,BTN,ultra,10,RAISE_SMALL,0.375,0.275,0.275,0.375,0.075
premium_aces_BTN_ultra_short_bet,premium,,aces,BTN,ultra,10,RAISE_SMALL,0.35,0.3,0.3,0.35,0.05
premium_pairs_BTN_short_bet,premium,,pairs,BTN,short,9,RAISE_SMALL,0.333,0.278,0.278,0.333,0.111
suited_gappers_BTN_very_deep_no_bet,suited,,gappers,BTN,very,8,FOLD,0.333,0.333,0.0,0.333,0.333
suited_connectors_BTN_medium_no_bet,suited,,connectors,BTN,medium,7,FOLD,0.333,0.333,0.0,0.333,0.333
offsuit_broadway_BTN_ultra_short_bet,offsuit,,broadway,BTN,ultra,13,FOLD,0.327,0.327,0.327,0.327,0.019
suited_broadway_BTN_ultra_short_bet,suited,,broadway,BTN,ultra,8,FOLD,0.312,0.312,0.312,0.312,0.062
offsuit_broadway_BB_medium_bet,offsuit,,broadway,BB,medium,15,FOLD,0.25,0.25,0.25,0.25,0.25
weak_aces_BTN_medium_bet,weak,,aces,BTN,medium,9,FOLD,0.25,0.25,0.25,0.25,0.25
premium_pairs_BTN_very_deep_bet,premium,,pairs,BTN,very,9,FOLD,0.25,0.25,0.25,0.25,0.25
medium_aces_BTN_very_deep_bet,medium,,aces,BTN,very,7,FOLD,0.25,0.25,0.25,0.25,0.25
suited_broadway_BTN_deep_bet,suited,,broadway,BTN,deep,6,FOLD,0.25,0.25,0.25,0.25,0.25
small_pairs_BTN_deep_bet,small,,pairs,BTN,deep,3,FOLD,0.25,0.25,0.25,0.25,0.25
