scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
weak_aces|BTN|medium|medium|very_deep|standard,weak_aces,BTN,medium,medium,very_deep,standard,3,0.0,0.6667,0.0,0.3333,0.0
weak_aces|BTN|medium|medium|very_deep|opp_raise_low,weak_aces,BTN,medium,medium,very_deep,opp_raise_low,1,0.0,0.0,1.0,0.0,0.0
trash|BB|very_deep|medium|medium|opp_raise_low_3bet,trash,BB,very_deep,medium,medium,opp_raise_low_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|deep|medium|medium|standard,trash,BTN,deep,medium,medium,standard,1,0.0,0.0,0.0,0.0,1.0
trash|BB|medium|medium|deep|opp_raise_high,trash,BB,medium,medium,deep,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|deep|medium|medium|opp_raise_low_3bet,trash,BTN,deep,medium,medium,opp_raise_low_3bet,1,0.0,0.0,0.0,0.0,1.0
trash|BB|medium|medium|deep|opp_raise_high_3bet,trash,BB,medium,medium,deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|medium|opp_raise_high,trash,BB,very_deep,medium,medium,opp_raise_high,8,0.5,0.125,0.125,0.125,0.125
suited_broadway|BTN|very_deep|medium|short|standard,suited_broadway,BTN,very_deep,medium,short,standard,1,0.0,0.0,1.0,0.0,0.0
trash|BB|short|medium|very_deep|opp_raise_low,trash,BB,short,medium,very_deep,opp_raise_low,1,0.0,0.0,0.0,1.0,0.0
suited_broadway|BTN|very_deep|medium|short|opp_raise_mid_3bet,suited_broadway,BTN,very_deep,medium,short,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
suited_broadway|BTN|very_deep|medium|ultra_short|standard,suited_broadway,BTN,very_deep,medium,ultra_short,standard,1,0.0,0.0,0.0,0.0,1.0
trash|BB|ultra_short|medium|very_deep|opp_raise_high,trash,BB,ultra_short,medium,very_deep,opp_raise_high,1,1.0,0.0,0.0,0.0,0.0
premium_pairs|BTN|medium|medium|medium|standard,premium_pairs,BTN,medium,medium,medium,standard,1,0.0,0.0,0.0,0.0,1.0
medium_pairs|BTN|medium|medium|medium|standard,medium_pairs,BTN,medium,medium,medium,standard,1,1.0,0.0,0.0,0.0,0.0
medium_aces|BB|medium|medium|medium|opp_call_low,medium_aces,BB,medium,medium,medium,opp_call_low,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|medium|medium|medium|opp_raise_high,trash,BTN,medium,medium,medium,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
medium_aces|BB|medium|medium|medium|opp_raise_low_3bet,medium_aces,BB,medium,medium,medium,opp_raise_low_3bet,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BTN|deep|medium|medium|standard,weak_aces,BTN,deep,medium,medium,standard,1,0.0,1.0,0.0,0.0,0.0
trash|BB|medium|medium|deep|opp_call_low,trash,BB,medium,medium,deep,opp_call_low,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BTN|deep|medium|medium|opp_check,weak_aces,BTN,deep,medium,medium,opp_check,1,0.0,0.0,1.0,0.0,0.0
trash|BB|medium|medium|deep|opp_raise_low,trash,BB,medium,medium,deep,opp_raise_low,1,0.0,0.0,1.0,0.0,0.0
